Tom ç Satoranskì\satorto01;2018-19;27;WAS;80,0;4,7;54,0;27,1;3,2;6,6;2,4;4,6;0,8;2,0;1,6;2,0;3,5;5,0;1,0;0,2;1,5;2,2;8,9;0;0;0;0;0
Malik Beasley\beaslma01;2018-19;22;DEN;81,0;4,5;18,0;23,2;4,3;9,1;2,3;4,1;2,0;5,0;0,7;0,8;2,5;1,2;0,7;0,1;0,7;1,4;11,3;0;0;0;0;0
Nemanja Bjelica\bjeline01;2018-19;30;SAC;77,0;4,5;70,0;23,2;3,7;7,7;2,4;4,4;1,3;3,3;0,9;1,2;5,8;1,9;0,7;0,7;1,1;2,6;9,6;0;0;0;0;0
Marcus Morris\morrima03;2018-19;29;BOS;75,0;4,5;53,0;27,9;5,0;11,3;3,1;6,1;1,9;5,2;1,9;2,3;6,1;1,5;0,6;0,3;1,2;2,4;13,9;0;0;0;0;0
Jae Crowder\crowdja01;2018-19;28;UTA;80,0;4,4;11,0;27,1;4,0;10,0;1,8;3,4;2,2;6,5;1,8;2,5;4,8;1,7;0,8;0,4;1,1;2,1;11,9;0;0;0;0;0
Rudy Gay\gayru01;2018-19;32;SAS;69,0;4,4;51,0;26,7;5,4;10,8;4,4;8,1;1,1;2,7;1,7;2,1;6,8;2,6;0,8;0,5;1,7;2,3;13,7;0;0;0;0;0
Draymond Green\greendr01;2018-19;28;GSW;66,0;4,3;66,0;31,3;2,8;6,4;2,1;3,9;0,7;2,5;1,0;1,4;7,3;6,9;1,4;1,1;2,6;3,0;7,4;0;0;0;0;0
Richaun Holmes\holmeri01;2018-19;25;PHO;70,0;4,3;4,0;16,9;3,2;5,2;3,2;5,2;0,0;0,0;1,8;2,5;4,7;0,9;0,6;1,1;0,7;2,8;8,2;0;0;0;0;0
Nerlens Noel\noelne01;2018-19;24;OKC;77,0;4,3;2,0;13,7;2,1;3,6;2,1;3,6;0,0;0,0;0,7;1,0;4,2;0,6;0,9;1,2;0,6;2,2;4,9;0;0;0;0;0
Terrence Ross\rosste01;2018-19;27;ORL;81,0;4,3;0,0;26,5;5,4;12,7;2,8;5,7;2,7;7,0;1,6;1,8;3,5;1,7;0,9;0,4;1,1;1,5;15,1;0;0;0;0;0
Fred VanVleet\vanvlfr01;2018-19;24;TOR;64,0;4,3;28,0;27,5;3,8;9,4;2,1;4,8;1,8;4,6;1,5;1,8;2,6;4,8;0,9;0,3;1,3;1,7;11,0;0;0;0;0;0
